"","Gene_Clusters"
"NR3C1","1"
"TPRG1","2"
"GZMA","1"
"TMED9","1"
"ADAM10","1"
"RPL27A","2"
"MEF2C","1"
"LINC01871","2"
"THEMIS","2"
"CHST2","1"
"PPP1CB","1"
"GOLGB1","1"
"PDIA3","1"
"TNFAIP8","2"
"ARRDC2","1"
"JAK1","1"
"PRDX1","1"
"CTLA4","1"
"MT-CO3","2"
"BEX4","1"
"PLK2","1"
"CCNL1","1"
"JAKMIP1","2"
"FEZ1","1"
"DHRS7","1"
"IGHM","2"
"QKI","1"
"MT1E","2"
"OAS1","1"
"CRY1","1"
"GLA","1"
"SELENOK","1"
"CLIC3","1"
"DUSP2","1"
"ITGA5","1"
"RPL27","2"
"RHOC","1"
"S1PR5","1"
"SPPL2A","1"
"NABP1","1"
"CRACR2B","2"
"PDXK","1"
"TMEM263","1"
"PURA","2"
"CATSPER1","1"
"AOAH","1"
"MZT2B","2"
"SRGN","1"
"LINC00623","2"
"HSBP1L1","1"
"GNPTAB","1"
"TOB1","2"
"STAT4","1"
"PER1","1"
"ZNF831","2"
"SOD1","1"
"LUZP1","1"
"RCSD1","2"
"NEAT1","1"
"TIPARP","1"
"SAMD9L","1"
"CALHM6","2"
"YWHAQ","1"
"RSRC2","1"
"LAIR1","1"
"ARFGAP3","1"
"MSC","2"
"FAM177A1","1"
"GLUD1","1"
"RNF130","1"
"LY9","2"
"C12orf57","2"
"CACYBP","1"
"PNPLA8","1"
"ATOX1","1"
"BRAF","1"
"RIN3","1"
"ACAP1","2"
"HMGN1","1"
"CALM1","1"
"NAP1L2","2"
"SOX4","1"
"CYTOR","2"
"AL021453.1","2"
"HSPA8","1"
"IL1B","1"
"BCAS2","1"
"FOS","1"
"ADAR","1"
"PFN1","2"
"MT-ND5","2"
"CGAS","1"
"GAPDH","1"
"UBA52","2"
"GCHFR","1"
"TLE4","1"
"BSG","1"
"BCR","1"
"NMRK1","2"
"THRAP3","1"
"SPART","1"
"RAB5IF","1"
"S100A4","2"
"INPP5A","1"
"ODF2L","1"
"IGFBP3","2"
"ICAM1","1"
"TOP1","1"
"AXIN1","1"
"TIMP1","1"
"PAG1","1"
"PPIB","1"
"KIFC3","1"
"ZBTB16","1"
"NFATC1","1"
"PTTG1","2"
"SNX18","2"
"NUCB1","1"
"STK17A","2"
"RAB9A","2"
"CTSS","1"
"RRAD","1"
"RAB38","1"
"RHOG","1"
"PREX1","1"
"ARL4C","1"
"TPT1","2"
"TMED1","1"
"RPS3A","2"
"IQGAP1","1"
"LPAR6","2"
"FAM27C","1"
"ITPRIP","1"
"C3orf52","2"
"CCL3L1","1"
"TGFB1","1"
"RPLP1","2"
"KMT5C","1"
"TPM4","1"
"AL645728.1","2"
"STK17B","2"
"CHD4","1"
"PLAUR","1"
"CNBD2","2"
