"","Clusters","gene_short_name","family","pval","qval","status","num_cells_expressed","use_for_ordering"
"NEAT1","1","NEAT1","negbinomial.size",1.84531515380607e-112,1.25077767768918e-111,"OK",15856,TRUE
"TIPARP","1","TIPARP","negbinomial.size",2.27399367621574e-100,1.37773527477987e-99,"OK",6390,TRUE
"SAMD9L","1","SAMD9L","negbinomial.size",1.80195842414413e-60,6.95453349104738e-60,"OK",2212,TRUE
"CALHM6","2","CALHM6","negbinomial.size",5.33887168087439e-25,1.0479649480377e-24,"OK",355,TRUE
"YWHAQ","1","YWHAQ","negbinomial.size",4.11760594940459e-19,6.85951405857031e-19,"OK",10111,TRUE
"RSRC2","1","RSRC2","negbinomial.size",2.32781976786612e-68,9.95866090039766e-68,"OK",9623,TRUE
"LAIR1","1","LAIR1","negbinomial.size",2.94784011739731e-102,1.83205307009592e-101,"OK",2373,TRUE
"ARFGAP3","1","ARFGAP3","negbinomial.size",4.93164766593645e-55,1.76223126646065e-54,"OK",3244,TRUE
"MSC","2","MSC","negbinomial.size",4.28327752924769e-50,1.42929676322127e-49,"OK",255,TRUE
"FAM177A1","1","FAM177A1","negbinomial.size",9.74990253165618e-159,8.66702401277141e-158,"OK",10361,TRUE
"GLUD1","1","GLUD1","negbinomial.size",9.96277139595249e-42,2.89668246083391e-41,"OK",3065,TRUE
"RNF130","1","RNF130","negbinomial.size",4.28198912420071e-40,1.21725221630293e-39,"OK",1729,TRUE
"LY9","2","LY9","negbinomial.size",9.2015398006858e-59,3.47098083959783e-58,"OK",1411,TRUE
"C12orf57","2","C12orf57","negbinomial.size",4.90159980724182e-56,1.79284485361004e-55,"OK",10511,TRUE
"CACYBP","1","CACYBP","negbinomial.size",2.4308419777858e-21,4.29706295828639e-21,"OK",10005,TRUE
"PNPLA8","1","PNPLA8","negbinomial.size",2.98345927158093e-47,9.55852756286417e-47,"OK",4742,TRUE
"ATOX1","1","ATOX1","negbinomial.size",1.20877355530386e-50,4.05228723563227e-50,"OK",2591,TRUE
"BRAF","1","BRAF","negbinomial.size",2.05493745330742e-62,8.14837172984241e-62,"OK",4476,TRUE
"RIN3","1","RIN3","negbinomial.size",1.01402437623993e-92,5.58228140117872e-92,"OK",4080,TRUE
"ACAP1","2","ACAP1","negbinomial.size",8.17475840220071e-26,1.63570580944404e-25,"OK",7432,TRUE
"HMGN1","1","HMGN1","negbinomial.size",1.3513774330983e-45,4.19933761087422e-45,"OK",10341,TRUE
"CALM1","1","CALM1","negbinomial.size",6.66626408384399e-75,3.05689784309886e-74,"OK",16021,TRUE
"NAP1L2","2","NAP1L2","negbinomial.size",1.58898850068232e-60,6.16550278708401e-60,"OK",614,TRUE
"SOX4","1","SOX4","negbinomial.size",1.79108671858092e-162,1.62546740276234e-161,"OK",1077,TRUE
"CYTOR","2","CYTOR","negbinomial.size",5.22921461723142e-94,2.93838510486398e-93,"OK",7038,TRUE
"AL021453.1","2","AL021453.1","negbinomial.size",2.35613566346518e-30,5.41936188128948e-30,"OK",2547,TRUE
"HSPA8","1","HSPA8","negbinomial.size",6.58944256648897e-14,9.09192170910597e-14,"OK",15870,TRUE
"IL1B","1","IL1B","negbinomial.size",1.73264512861988e-18,2.83416838912256e-18,"OK",251,TRUE
"BCAS2","1","BCAS2","negbinomial.size",8.9831380402642e-67,3.81299929732545e-66,"OK",8620,TRUE
"FOS","1","FOS","negbinomial.size",4.69004705231623e-261,6.35794503529619e-260,"OK",15565,TRUE
"ADAR","1","ADAR","negbinomial.size",3.63519433441928e-45,1.11681820274156e-44,"OK",5269,TRUE
"PFN1","2","PFN1","negbinomial.size",1.23862038946383e-06,1.384115211101e-06,"OK",16069,TRUE
"MT-ND5","2","MT-ND5","negbinomial.size",5.27862167520132e-48,1.70376940677257e-47,"OK",15385,TRUE
"CGAS","1","CGAS","negbinomial.size",1.10246542196339e-59,4.2099427821102e-59,"OK",3662,TRUE
"GAPDH","1","GAPDH","negbinomial.size",8.6954274789569e-14,1.19218597988986e-13,"OK",15682,TRUE
"UBA52","2","UBA52","negbinomial.size",3.25431035195848e-140,2.56676332850834e-139,"OK",16090,TRUE
"GCHFR","1","GCHFR","negbinomial.size",8.55372828050553e-27,1.76864028983951e-26,"OK",2263,TRUE
"TLE4","1","TLE4","negbinomial.size",6.05878445245696e-74,2.74352890968249e-73,"OK",10240,TRUE
"BSG","1","BSG","negbinomial.size",2.7434591312262e-57,1.02243348034873e-56,"OK",7586,TRUE
"BCR","1","BCR","negbinomial.size",1.57078366165523e-50,5.24966065043173e-50,"OK",1371,TRUE
"NMRK1","2","NMRK1","negbinomial.size",1.16601696757254e-35,3.00010771371867e-35,"OK",2855,TRUE
"THRAP3","1","THRAP3","negbinomial.size",6.23626238108139e-38,1.68659016266403e-37,"OK",5391,TRUE
"SPART","1","SPART","negbinomial.size",6.10482452040908e-45,1.864980899263e-44,"OK",1465,TRUE
"RAB5IF","1","RAB5IF","negbinomial.size",2.92650824387417e-109,1.94116097277158e-108,"OK",7698,TRUE
"S100A4","2","S100A4","negbinomial.size",3.11816081117579e-168,2.92783151490922e-167,"OK",14970,TRUE
"INPP5A","1","INPP5A","negbinomial.size",9.08893166560043e-56,3.28564879711456e-55,"OK",686,TRUE
"ODF2L","1","ODF2L","negbinomial.size",1.12256733124989e-45,3.49834560557616e-45,"OK",4938,TRUE
"IGFBP3","2","IGFBP3","negbinomial.size",3.09620192172109e-75,1.43497050602843e-74,"OK",358,TRUE
"ICAM1","1","ICAM1","negbinomial.size",3.46003651553633e-102,2.13812512883142e-101,"OK",4493,TRUE
"TOP1","1","TOP1","negbinomial.size",1.00889697508472e-38,2.76999688475791e-38,"OK",5624,TRUE
"AXIN1","1","AXIN1","negbinomial.size",2.92048851183289e-55,1.04703133589513e-54,"OK",2161,TRUE
"TIMP1","1","TIMP1","negbinomial.size",3.14326496864304e-49,1.029870349998e-48,"OK",2436,TRUE
"PAG1","1","PAG1","negbinomial.size",2.56146857025195e-23,4.81023837997963e-23,"OK",1336,TRUE
"PPIB","1","PPIB","negbinomial.size",2.24682132793466e-87,1.18573125554508e-86,"OK",11223,TRUE
"KIFC3","1","KIFC3","negbinomial.size",1.54671258339347e-39,4.31765713433777e-39,"OK",1033,TRUE
"ZBTB16","1","ZBTB16","negbinomial.size",4.81827718331471e-272,6.96722880707307e-271,"OK",3944,TRUE
"NFATC1","1","NFATC1","negbinomial.size",3.05185421345652e-46,9.60736108706415e-46,"OK",915,TRUE
"PTTG1","2","PTTG1","negbinomial.size",3.70560551235879e-65,1.52803390804301e-64,"OK",2237,TRUE
"SNX18","2","SNX18","negbinomial.size",2.22904552921426e-32,5.34822981511695e-32,"OK",1586,TRUE
"NUCB1","1","NUCB1","negbinomial.size",2.27911821780961e-59,8.65745606730129e-59,"OK",4446,TRUE
"STK17A","2","STK17A","negbinomial.size",1.48708442043182e-18,2.43800915186442e-18,"OK",11249,TRUE
"RAB9A","2","RAB9A","negbinomial.size",5.40903204564914e-08,6.24052686543244e-08,"OK",4918,TRUE
"CTSS","1","CTSS","negbinomial.size",5.69884151913778e-28,1.21541664257717e-27,"OK",5660,TRUE
"RRAD","1","RRAD","negbinomial.size",3.20471391277318e-15,4.62476678430142e-15,"OK",1044,TRUE
"RAB38","1","RAB38","negbinomial.size",5.89886810434441e-29,1.2858939616405e-28,"OK",418,TRUE
"RHOG","1","RHOG","negbinomial.size",5.93610818125577e-75,2.72784293329317e-74,"OK",6781,TRUE
"PREX1","1","PREX1","negbinomial.size",2.39902059205965e-64,9.81787861165542e-64,"OK",3709,TRUE
"ARL4C","1","ARL4C","negbinomial.size",1.76650246475175e-74,8.03258667934284e-74,"OK",14617,TRUE
"TPT1","2","TPT1","negbinomial.size",5.32189309172008e-142,4.25947827156489e-141,"OK",16287,TRUE
"TMED1","1","TMED1","negbinomial.size",4.1023312209141e-55,1.46830963996084e-54,"OK",2310,TRUE
"RPS3A","2","RPS3A","negbinomial.size",8.31665036347313e-114,5.72660782170578e-113,"OK",16277,TRUE
"IQGAP1","1","IQGAP1","negbinomial.size",2.5333761253002e-68,1.08167181412916e-67,"OK",9239,TRUE
"LPAR6","2","LPAR6","negbinomial.size",9.53377606908721e-26,1.90412157401935e-25,"OK",1826,TRUE
"FAM27C","1","FAM27C","negbinomial.size",5.80868438960746e-26,1.16765861362915e-25,"OK",513,TRUE
"ITPRIP","1","ITPRIP","negbinomial.size",3.28772631124307e-70,1.42336893594535e-69,"OK",3893,TRUE
"C3orf52","2","C3orf52","negbinomial.size",3.84936564427164e-30,8.77946801516844e-30,"OK",238,TRUE
"CCL3L1","1","CCL3L1","negbinomial.size",0,0,"OK",8285,TRUE
"TGFB1","1","TGFB1","negbinomial.size",3.34683842822481e-171,3.19792623384124e-170,"OK",12629,TRUE
"RPLP1","2","RPLP1","negbinomial.size",3.69347737704056e-103,2.31536197421994e-102,"OK",16287,TRUE
"KMT5C","1","KMT5C","negbinomial.size",3.71644601165038e-43,1.10727629110847e-42,"OK",1621,TRUE
"TPM4","1","TPM4","negbinomial.size",1.97044799202364e-52,6.81643013508657e-52,"OK",5252,TRUE
"AL645728.1","2","AL645728.1","negbinomial.size",6.16277613989316e-10,7.50536858362058e-10,"OK",1586,TRUE
"STK17B","2","STK17B","negbinomial.size",5.52388917123112e-32,1.32098297821392e-31,"OK",11190,TRUE
"CHD4","1","CHD4","negbinomial.size",8.0138584485029e-56,2.90184623953302e-55,"OK",6113,TRUE
"PLAUR","1","PLAUR","negbinomial.size",6.140026527533e-22,1.1079631895357e-21,"OK",797,TRUE
"CNBD2","2","CNBD2","negbinomial.size",6.69725206453764e-07,7.53440857260485e-07,"OK",4125,TRUE
"NUSAP1","2","NUSAP1","negbinomial.size",1.58124357850421e-49,5.20442689192052e-49,"OK",521,TRUE
"ITM2C","1","ITM2C","negbinomial.size",5.56273287551758e-16,8.33257431422488e-16,"OK",471,TRUE
"KLF13","2","KLF13","negbinomial.size",0.0373246512700843,0.0383683263529918,"OK",7143,TRUE
"FHL3","1","FHL3","negbinomial.size",5.65479884238189e-74,2.56595370065404e-73,"OK",2154,TRUE
"RPL15","2","RPL15","negbinomial.size",6.77774159427642e-104,4.29851506373847e-103,"OK",16224,TRUE
"TMED10","1","TMED10","negbinomial.size",7.47513100562087e-52,2.55331640176247e-51,"OK",5482,TRUE
"CWC25","1","CWC25","negbinomial.size",1.50355128788545e-31,3.55250843510189e-31,"OK",3915,TRUE
"PTPRJ","1","PTPRJ","negbinomial.size",7.96372916198512e-41,2.29089238094771e-40,"OK",2460,TRUE
"DUSP5","2","DUSP5","negbinomial.size",5.83787749045521e-79,2.80140625592862e-78,"OK",8009,TRUE
"GBP4","1","GBP4","negbinomial.size",2.46244358704136e-40,7.02768439512199e-40,"OK",2865,TRUE
"PAXX","2","PAXX","negbinomial.size",2.16579264816946e-11,2.74392771838759e-11,"OK",9914,TRUE
"RASSF4","1","RASSF4","negbinomial.size",1.57131249759774e-60,6.10784374066218e-60,"OK",1809,TRUE
"TIGIT","2","TIGIT","negbinomial.size",3.83608281384025e-66,1.6187672418715e-65,"OK",4347,TRUE
"FCRL6","2","FCRL6","negbinomial.size",5.59327061730932e-36,1.44770930416992e-35,"OK",5223,TRUE
"FAM53C","1","FAM53C","negbinomial.size",1.15270961624713e-56,4.24486783979629e-56,"OK",4313,TRUE
"TRDC","2","TRDC","negbinomial.size",5.2386181472111e-147,4.3534723223375e-146,"OK",9927,TRUE
"RBM8A","2","RBM8A","negbinomial.size",5.63516640741952e-28,1.203019285206e-27,"OK",12512,TRUE
"BANP","1","BANP","negbinomial.size",5.83666369377107e-72,2.59953255683562e-71,"OK",2332,TRUE
"NCS1","1","NCS1","negbinomial.size",1.71858639215731e-45,5.32516269227029e-45,"OK",500,TRUE
"TPD52","2","TPD52","negbinomial.size",1.96047004036446e-13,2.64938287697852e-13,"OK",1990,TRUE
"ARG2","1","ARG2","negbinomial.size",4.08274814868604e-23,7.62745971963826e-23,"OK",866,TRUE
"JOSD1","1","JOSD1","negbinomial.size",2.35368514031414e-52,8.12920870914232e-52,"OK",6989,TRUE
"LYN","1","LYN","negbinomial.size",2.26854922424449e-77,1.07669218104733e-76,"OK",4730,TRUE
"SERF2","1","SERF2","negbinomial.size",1.47026446521505e-60,5.72532069129525e-60,"OK",15957,TRUE
"USP18","1","USP18","negbinomial.size",1.06631184658362e-50,3.58578355851144e-50,"OK",615,TRUE
"EIF3J","1","EIF3J","negbinomial.size",5.65060538929899e-34,1.39433027183043e-33,"OK",4121,TRUE
"DDX43","1","DDX43","negbinomial.size",5.32904403277087e-36,1.38261919941149e-35,"OK",180,TRUE
"H2AFV","1","H2AFV","negbinomial.size",1.82220890206677e-49,5.98844107361032e-49,"OK",8588,TRUE
"MLC1","1","MLC1","negbinomial.size",6.61001142952053e-56,2.4055561729245e-55,"OK",1359,TRUE
"COLGALT2","1","COLGALT2","negbinomial.size",5.67823913609862e-21,9.90836740643435e-21,"OK",519,TRUE
"SBDS","2","SBDS","negbinomial.size",7.8442850728871e-39,2.15916933034164e-38,"OK",8873,TRUE
"IQGAP2","1","IQGAP2","negbinomial.size",3.13570798849481e-51,1.06604241803217e-50,"OK",9118,TRUE
"CD82","1","CD82","negbinomial.size",7.51361278107506e-17,1.16158418547055e-16,"OK",392,TRUE
"FOSB","1","FOSB","negbinomial.size",1.83097911839437e-40,5.23240277707166e-40,"OK",13050,TRUE
"SORL1","1","SORL1","negbinomial.size",5.94882442262933e-47,1.89471368174494e-46,"OK",4233,TRUE
"RSAD2","1","RSAD2","negbinomial.size",7.13746076818593e-34,1.75722501772932e-33,"OK",485,TRUE
"SIPA1L1","1","SIPA1L1","negbinomial.size",5.1001450827708e-39,1.41099677098595e-38,"OK",1570,TRUE
"PPIA","2","PPIA","negbinomial.size",8.37743542259072e-23,1.54643893034887e-22,"OK",14471,TRUE
"HBA1","1","HBA1","negbinomial.size",1.25305001762468e-22,2.29937858564123e-22,"OK",932,TRUE
"AC026979.2","2","AC026979.2","negbinomial.size",1.33114813069182e-13,1.80906033550786e-13,"OK",4952,TRUE
"COX4I1","2","COX4I1","negbinomial.size",8.18067503085017e-59,3.09126901427074e-58,"OK",14622,TRUE
"EPG5","1","EPG5","negbinomial.size",1.4591630183493e-37,3.9218396366786e-37,"OK",2058,TRUE
"PARP9","1","PARP9","negbinomial.size",8.4956546187403e-40,2.39623860442753e-39,"OK",1519,TRUE
"LGALS1","1","LGALS1","negbinomial.size",7.37552186864533e-05,7.97085547239249e-05,"OK",12410,TRUE
"IQCG","2","IQCG","negbinomial.size",5.73501739013241e-52,1.96512681187949e-51,"OK",813,TRUE
"NDUFS5","1","NDUFS5","negbinomial.size",1.03052093322515e-28,2.23743734150686e-28,"OK",9710,TRUE
"CMIP","1","CMIP","negbinomial.size",1.93172836597919e-44,5.86823364959223e-44,"OK",3390,TRUE
"GIMAP1","2","GIMAP1","negbinomial.size",6.48114533814235e-16,9.64832137160656e-16,"OK",2797,TRUE
"ZCWPW2","1","ZCWPW2","negbinomial.size",4.25154070829632e-13,5.68532169931857e-13,"OK",147,TRUE
"MAPK1IP1L","1","MAPK1IP1L","negbinomial.size",1.21401631305364e-34,3.03015118873802e-34,"OK",5431,TRUE
"RBM38","1","RBM38","negbinomial.size",7.47865486441265e-29,1.62700124382257e-28,"OK",9319,TRUE
"MMP24OS","1","MMP24OS","negbinomial.size",1.25615331115922e-33,3.08561328641489e-33,"OK",4373,TRUE
"ZNF331","1","ZNF331","negbinomial.size",2.75985151253154e-96,1.59205264113854e-95,"OK",9141,TRUE
"RALGAPA1","1","RALGAPA1","negbinomial.size",3.03548395329126e-56,1.11215619842715e-55,"OK",4716,TRUE
"GATD3A","2","GATD3A","negbinomial.size",4.82258290943786e-41,1.39283386558865e-40,"OK",200,TRUE
"TMBIM6","1","TMBIM6","negbinomial.size",8.29298606618915e-37,2.18294742446168e-36,"OK",11340,TRUE
"SNRPB","1","SNRPB","negbinomial.size",1.73580736472001e-34,4.31267602987136e-34,"OK",9648,TRUE
"CAPG","1","CAPG","negbinomial.size",0.0116561271576922,0.0120909324749089,"OK",392,TRUE
"CXXC5","1","CXXC5","negbinomial.size",1.31406775956124e-83,6.67497182784151e-83,"OK",2500,TRUE
"MVB12B","2","MVB12B","negbinomial.size",4.11338221648132e-28,8.80742944476602e-28,"OK",482,TRUE
"APOL6","1","APOL6","negbinomial.size",3.63896778340882e-49,1.19048584045456e-48,"OK",6999,TRUE
"LAP3","1","LAP3","negbinomial.size",2.92911733325963e-40,8.33760563758549e-40,"OK",3334,TRUE
"ATP5F1E","2","ATP5F1E","negbinomial.size",4.78440366836344e-49,1.56050700100456e-48,"OK",15385,TRUE
"ATP6V1D","1","ATP6V1D","negbinomial.size",6.08541562783964e-30,1.37635729893474e-29,"OK",2459,TRUE
"MCTP2","1","MCTP2","negbinomial.size",3.78011531950194e-118,2.67943468235285e-117,"OK",4179,TRUE
"USP15","1","USP15","negbinomial.size",3.41752421139899e-44,1.03096105904373e-43,"OK",6065,TRUE
"MOB3A","1","MOB3A","negbinomial.size",2.97392678903719e-77,1.40532618854503e-76,"OK",3942,TRUE
"STX5","1","STX5","negbinomial.size",6.45945876565159e-35,1.62535569172834e-34,"OK",2217,TRUE
"SIAH2","2","SIAH2","negbinomial.size",3.13018627790835e-35,8.01524661043895e-35,"OK",5431,TRUE
"AC006157.1","1","AC006157.1","negbinomial.size",1.77133091132059e-15,2.58200050178385e-15,"OK",122,TRUE
"PEBP1","2","PEBP1","negbinomial.size",7.01463544638522e-44,2.11022805592365e-43,"OK",5129,TRUE
"TMEM120B","1","TMEM120B","negbinomial.size",5.66018151765262e-29,1.23759412417223e-28,"OK",2985,TRUE
"NAPRT","1","NAPRT","negbinomial.size",2.38374683517282e-28,5.13950982653066e-28,"OK",469,TRUE
"RAP1A","2","RAP1A","negbinomial.size",2.06685480969365e-26,4.21731710463362e-26,"OK",7496,TRUE
"IPCEF1","2","IPCEF1","negbinomial.size",1.20121353739067e-07,1.37200219199598e-07,"OK",2632,TRUE
"ATP6V0E1","1","ATP6V0E1","negbinomial.size",9.28878475991334e-24,1.77353645636022e-23,"OK",8400,TRUE
"RGS1","1","RGS1","negbinomial.size",2.81127865793802e-164,2.59475038683726e-163,"OK",8460,TRUE
"HOXC4","2","HOXC4","negbinomial.size",2.01932521794303e-59,7.68406385564638e-59,"OK",500,TRUE
"AL451085.1","2","AL451085.1","negbinomial.size",4.99902305022346e-30,1.1353802089984e-29,"OK",898,TRUE
"SAMD3","2","SAMD3","negbinomial.size",9.36350983558351e-21,1.62475622667045e-20,"OK",6493,TRUE
"C1orf174","1","C1orf174","negbinomial.size",2.29330013293268e-62,9.07694888381566e-62,"OK",2536,TRUE
"B4GALT1","1","B4GALT1","negbinomial.size",3.02085341623765e-46,9.52359165671432e-46,"OK",6428,TRUE
"RTF2","1","RTF2","negbinomial.size",5.29533022874268e-29,1.15898801878334e-28,"OK",3145,TRUE
"KDM5B","1","KDM5B","negbinomial.size",5.64920880669452e-35,1.42644166492671e-34,"OK",1233,TRUE
"GMFG","2","GMFG","negbinomial.size",3.24409620585003e-18,5.25892725746541e-18,"OK",10122,TRUE
"HIST1H2BG","2","HIST1H2BG","negbinomial.size",1.69258839732141e-32,4.0655860839315e-32,"OK",801,TRUE
"FES","1","FES","negbinomial.size",5.85680365682519e-72,2.60315719910939e-71,"OK",774,TRUE
"ARF6","2","ARF6","negbinomial.size",0.00018745560079743,0.000200094093567729,"OK",10408,TRUE
"SEPT6","2","SEPT6","negbinomial.size",1.66598661165211e-14,2.34340140121494e-14,"OK",6747,TRUE
"NRARP","1","NRARP","negbinomial.size",4.19854047152067e-63,1.69268295217999e-62,"OK",934,TRUE
"CEBPA","2","CEBPA","negbinomial.size",3.25121870185088e-26,6.60908469007926e-26,"OK",1832,TRUE
"LYAR","2","LYAR","negbinomial.size",1.90837749884188e-75,8.88255535405158e-75,"OK",7109,TRUE
"RHBDD2","1","RHBDD2","negbinomial.size",2.88462141620712e-15,4.1711625678355e-15,"OK",2191,TRUE
"CHORDC1","1","CHORDC1","negbinomial.size",5.71543262030693e-28,1.21775769680213e-27,"OK",7486,TRUE
"LINC00299","1","LINC00299","negbinomial.size",1.75074025356597e-56,6.42530560065074e-56,"OK",392,TRUE
"RRAS2","2","RRAS2","negbinomial.size",8.05912608271083e-28,1.7108194305027e-27,"OK",2864,TRUE
"HIST1H2AE","2","HIST1H2AE","negbinomial.size",5.05472891648595e-27,1.05623381694201e-26,"OK",1037,TRUE
"IFFO2","1","IFFO2","negbinomial.size",5.24572287835036e-35,1.32765144960816e-34,"OK",2364,TRUE
"IGHV1-18","1","IGHV1-18","negbinomial.size",4.01062391628166e-12,5.18726492213174e-12,"OK",118,TRUE
"ARHGEF2","1","ARHGEF2","negbinomial.size",1.42417053648272e-43,4.26661035031909e-43,"OK",2067,TRUE
"ALB","1","ALB","negbinomial.size",2.95089828896243e-37,7.87269174509165e-37,"OK",246,TRUE
"LINC002481","2","LINC002481","negbinomial.size",2.96386256571422e-42,8.69907700275256e-42,"OK",814,TRUE
"IL27RA","1","IL27RA","negbinomial.size",2.57900956188628e-43,7.70505749274288e-43,"OK",3322,TRUE
"SATB1","1","SATB1","negbinomial.size",9.09107461286133e-42,2.64678400473775e-41,"OK",2837,TRUE
"ERP29","2","ERP29","negbinomial.size",1.81379489337558e-61,7.12703102125297e-61,"OK",8451,TRUE
"SPTY2D1","1","SPTY2D1","negbinomial.size",3.67168191347753e-45,1.12643254177267e-44,"OK",5113,TRUE
"PTTG1IP","1","PTTG1IP","negbinomial.size",4.95559089032894e-80,2.42087311737015e-79,"OK",2336,TRUE
"KRT81","1","KRT81","negbinomial.size",3.17903643765914e-44,9.61691775911113e-44,"OK",770,TRUE
"DYNLL1","1","DYNLL1","negbinomial.size",1.44670557109822e-32,3.4865604263467e-32,"OK",10856,TRUE
"CD81","2","CD81","negbinomial.size",5.83864654551334e-09,6.9202318891904e-09,"OK",12982,TRUE
"TSEN34","2","TSEN34","negbinomial.size",2.96204414768323e-32,7.09125138667211e-32,"OK",1867,TRUE
"NSMCE3","2","NSMCE3","negbinomial.size",3.83043483330029e-17,5.998709858071e-17,"OK",7450,TRUE
"TIAM1","1","TIAM1","negbinomial.size",4.12925363409066e-29,9.1112422506029e-29,"OK",272,TRUE
"IFIH1","1","IFIH1","negbinomial.size",6.82771340100414e-31,1.58898179901051e-30,"OK",1615,TRUE
"TENT5A","1","TENT5A","negbinomial.size",2.59471000493568e-93,1.44305794889884e-92,"OK",5413,TRUE
"BTF3","2","BTF3","negbinomial.size",1.24316834884289e-72,5.55965391472212e-72,"OK",15006,TRUE
"ST3GAL4","1","ST3GAL4","negbinomial.size",2.54590348476137e-41,7.37258298858132e-41,"OK",1782,TRUE
"PTGES3","1","PTGES3","negbinomial.size",1.68297621123487e-62,6.69793651774025e-62,"OK",10664,TRUE
"GNAL","1","GNAL","negbinomial.size",5.58465763389558e-39,1.54307291820631e-38,"OK",861,TRUE
"RUNX3","2","RUNX3","negbinomial.size",1.466788950631e-05,1.60598951737438e-05,"OK",12026,TRUE
"DRAIC","2","DRAIC","negbinomial.size",5.92762525569492e-33,1.43653845582148e-32,"OK",296,TRUE
"ZNF80","2","ZNF80","negbinomial.size",1.10170977435217e-41,3.19894042914304e-41,"OK",253,TRUE
"SH3GLB1","1","SH3GLB1","negbinomial.size",9.64073336413793e-50,3.19736248728061e-49,"OK",6072,TRUE
"TBXAS1","1","TBXAS1","negbinomial.size",2.93523181076538e-106,1.89479696355658e-105,"OK",1217,TRUE
"PRRG4","1","PRRG4","negbinomial.size",3.51417584320955e-43,1.04845218760956e-42,"OK",164,TRUE
"AC243829.2","2","AC243829.2","negbinomial.size",5.45747583755198e-41,1.5741044004854e-40,"OK",348,TRUE
"AC022075.1","2","AC022075.1","negbinomial.size",1.6525191013927e-24,3.20028029546497e-24,"OK",461,TRUE
"RALGDS","1","RALGDS","negbinomial.size",3.98565147242595e-30,9.08075424757551e-30,"OK",3408,TRUE
"TCEAL4","2","TCEAL4","negbinomial.size",5.11014628536493e-30,1.15819302956704e-29,"OK",735,TRUE
"AL031777.3","2","AL031777.3","negbinomial.size",6.277628208177e-20,1.07129626935766e-19,"OK",803,TRUE
"EIF3K","2","EIF3K","negbinomial.size",5.74012093248317e-49,1.86941776314654e-48,"OK",12488,TRUE
"FKBP2","1","FKBP2","negbinomial.size",4.03473215916229e-39,1.12052932819757e-38,"OK",3276,TRUE
"PARP8","2","PARP8","negbinomial.size",0.00176809274265666,0.00185803932113483,"OK",6452,TRUE
"GEM","1","GEM","negbinomial.size",2.56431930512211e-21,4.52932294202758e-21,"OK",195,TRUE
"KLHL6","1","KLHL6","negbinomial.size",1.06039493125735e-35,2.73158741793015e-35,"OK",656,TRUE
"TFDP2","1","TFDP2","negbinomial.size",5.54918643088495e-35,1.40281880752791e-34,"OK",5375,TRUE
"AK5","1","AK5","negbinomial.size",1.00884918995982e-39,2.83444804795707e-39,"OK",386,TRUE
"CERCAM","1","CERCAM","negbinomial.size",8.84524251225623e-30,1.9860591106712e-29,"OK",599,TRUE
"VPS29","2","VPS29","negbinomial.size",4.23738252251901e-28,9.06398687509244e-28,"OK",5543,TRUE
"LTB","2","LTB","negbinomial.size",0.115049044252867,0.117376000463062,"OK",1611,TRUE
"PKM","1","PKM","negbinomial.size",2.40125284187273e-09,2.86959637136196e-09,"OK",4583,TRUE
"AC004556.1","1","AC004556.1","negbinomial.size",7.19089203982019e-18,1.15448148292894e-17,"OK",314,TRUE
"BLVRB","1","BLVRB","negbinomial.size",2.52772531196597e-45,7.79891351586656e-45,"OK",2031,TRUE
"GOLM1","1","GOLM1","negbinomial.size",1.67042015611606e-26,3.42775905261658e-26,"OK",1176,TRUE
"HERPUD2","2","HERPUD2","negbinomial.size",7.60125035736597e-23,1.40675017279239e-22,"OK",5462,TRUE
"RFX1","1","RFX1","negbinomial.size",4.02649234277294e-22,7.29003496784182e-22,"OK",1491,TRUE
"CAST","1","CAST","negbinomial.size",9.00985951814409e-07,1.01046459642474e-06,"OK",9424,TRUE
"ZNF267","1","ZNF267","negbinomial.size",1.2379184229153e-17,1.96995235458788e-17,"OK",2027,TRUE
"HMGA1","1","HMGA1","negbinomial.size",3.13249286050859e-21,5.51491640782722e-21,"OK",3007,TRUE
"IL2RA","1","IL2RA","negbinomial.size",3.55737816561583e-14,4.95247319718917e-14,"OK",212,TRUE
"WDSUB1","2","WDSUB1","negbinomial.size",8.36898914485105e-11,1.04144219478955e-10,"OK",1296,TRUE
"N4BP1","1","N4BP1","negbinomial.size",4.60181587959826e-45,1.40979359362269e-44,"OK",3729,TRUE
"BIRC2","1","BIRC2","negbinomial.size",1.50092974680437e-69,6.44656756597759e-69,"OK",6934,TRUE
"STK4","1","STK4","negbinomial.size",4.35527968379394e-21,7.64907014910854e-21,"OK",11364,TRUE
"EIF4A2","1","EIF4A2","negbinomial.size",5.70238806588139e-64,2.32490220204826e-63,"OK",12846,TRUE
"CTNNB1","1","CTNNB1","negbinomial.size",1.53609781395362e-44,4.67948898660871e-44,"OK",4129,TRUE
"ATP6V1G1","1","ATP6V1G1","negbinomial.size",1.90029537443713e-29,4.21445875987131e-29,"OK",9330,TRUE
"FAM102B","1","FAM102B","negbinomial.size",5.1277481864787e-27,1.0704606175623e-26,"OK",1406,TRUE
"CYSLTR1","1","CYSLTR1","negbinomial.size",3.41371647672291e-38,9.31364910441759e-38,"OK",533,TRUE
"PSMB3","1","PSMB3","negbinomial.size",7.49567762070518e-22,1.35034258798252e-21,"OK",7170,TRUE
"RBM3","1","RBM3","negbinomial.size",3.09733401222648e-22,5.62185562553911e-22,"OK",10817,TRUE
