marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
CD3D	Memory CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Cytotoxic T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Exhausted CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Proliferative CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Activated CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Lymphocyte	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Lymphocyte	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Naive CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Regulatory T(Treg) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Naive T(Th0) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Stromal cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Exhausted CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Regulatory CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Naive CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Memory T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Proliferative T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer T (NKT) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
